Date,Value
11/17/2010,1.00148621
11/18/2010,1.020584664
11/19/2010,1.000874784
11/22/2010,1.009259347
11/24/2010,0.99158888
11/25/2010,1.004950037
11/26/2010,0.99601179
11/29/2010,1.00860901
11/30/2010,0.981340077
12/1/2010,1.005133296
12/2/2010,1.018068565
12/3/2010,1.000963836
12/6/2010,0.998910445
12/7/2010,0.997429894
12/8/2010,1.008996112
12/9/2010,1.005233393
12/10/2010,0.992812507
12/13/2010,1.008023879
12/14/2010,1.002222666
12/15/2010,0.999322534
12/16/2010,1.00014644
12/17/2010,0.999276525
12/20/2010,0.991515784
12/21/2010,1.015085545
12/22/2010,0.997680948
12/24/2010,0.993496335
12/27/2010,1.007471386
12/28/2010,0.993881768
12/29/2010,1.00504343
12/30/2010,0.988823078
1/4/2011,1.01653935
1/5/2011,0.998333342
1/6/2011,1.014352523
1/7/2011,1.001071275
1/11/2011,0.997119795
1/12/2011,1.000201711
1/13/2011,1.007320596
1/14/2011,0.991433259
1/17/2011,1.000363873
1/18/2011,1.001534831
1/19/2011,1.003623844
1/20/2011,0.98865313
1/21/2011,0.984403065
1/24/2011,1.006870474
1/25/2011,1.011532943
1/26/2011,0.994025514
1/27/2011,1.007379398
1/28/2011,0.98870845
1/31/2011,0.988183793
2/1/2011,1.003572999
2/2/2011,1.017797494
2/3/2011,0.997513713
2/4/2011,1.010752114
2/7/2011,1.004601927
2/8/2011,1.004148439
2/9/2011,0.998293492
2/10/2011,0.998852902
2/14/2011,1.011304318
2/15/2011,1.001970053
2/16/2011,1.00573388
2/17/2011,1.00262295
2/18/2011,1.000568456
2/21/2011,1.001358548
2/22/2011,0.982239969
2/23/2011,0.991973465
2/24/2011,0.988052892
2/25/2011,1.007084269
2/28/2011,1.009245967
3/1/2011,1.012230735
3/2/2011,0.975669551
3/3/2011,1.008924538
3/4/2011,1.010168187
3/7/2011,0.982359583
3/8/2011,1.00192012
3/9/2011,1.006110062
3/10/2011,0.985351516
3/11/2011,0.982754107
3/14/2011,0.938178965
3/15/2011,0.894460696
3/16/2011,1.056776386
3/17/2011,0.985588977
3/18/2011,1.027232965
3/22/2011,1.043616945
3/23/2011,0.983467393
3/24/2011,0.99846976
3/25/2011,1.010717542
3/28/2011,0.993959855
3/29/2011,0.997947974
3/30/2011,1.026398969
3/31/2011,1.00476986
4/1/2011,0.995211739
4/4/2011,1.001081539
4/5/2011,0.989367114
4/6/2011,0.996757368
4/7/2011,1.000684403
4/8/2011,1.018470617
4/11/2011,0.995047145
4/12/2011,0.983081739
4/13/2011,1.008991898
4/14/2011,1.001321439
4/15/2011,0.993536264
4/18/2011,0.996364586
4/19/2011,0.987901606
4/20/2011,1.017560588
4/21/2011,1.008218038
4/22/2011,0.999632495
4/25/2011,0.998941357
4/26/2011,0.988288875
4/27/2011,1.013929671
4/28/2011,1.016292096
5/2/2011,1.015681628
5/6/2011,0.985506088
5/9/2011,0.993425399
5/10/2011,1.002489171
5/11/2011,1.004633986
5/12/2011,0.98503594
5/13/2011,0.993013965
5/16/2011,0.990623703
5/17/2011,1.000912267
5/18/2011,1.009936276
5/19/2011,0.995729722
5/20/2011,0.998571823
5/23/2011,0.984756014
5/24/2011,1.001748302
5/25/2011,0.994271492
5/26/2011,1.014769362
5/27/2011,0.995805358
5/30/2011,0.998217726
5/31/2011,1.019859163
6/1/2011,1.002669755
6/2/2011,0.983068219
